Date,Police Officer Strength,Police Staff Strength,PCSO Strength
May-13,30636,12702,2497
Jun-13,30550,12166,2487
Jul-13,30463,12149,2467
Aug-13,30360,12114,2450
Sep-13,30413,12113,2324
Oct-13,30260,12129,2312
Nov-13,30249,12076,2238
Dec-13,30085,12026,2224
Jan-14,30037,11985,2210
Feb-14,30236,11886,2128
Mar-14,30712,11897,2048
Apr-14,30824,11856,2020
May-14,30946,11813,1997
Jun-14,31007,11803,1961
Jul-14,31133,11778,1940
Aug-14,31179,11679,1920
Sep-14,31287,11613,1905
Oct-14,31340,11562,1886
Nov-14,31434,11494,1870
Dec-14,31300,11419,1862
Jan-15,31672,11374,1834
Feb-15,31818,11348,1801
Mar-15,31944,11316,1787
Apr-15,31759,11199,1771
May-15,31727,11116,1757
Jun-15,31733,11068,1734
Jul-15,31756,10985,1724
Aug-15,31787,10902,1707
Sep-15,31780,10823,1689
Oct-15,31750,10412,1670
Nov-15,31716,10342,1667
Dec-15,31612,10283,1663
Jan-16,31678,10157,1639
Feb-16,31688,10096,1610
Mar-16,31720,9985,1591
Apr-16,31674,9502,1577
May-16,31601,9411,1566
Jun-16,31555,9329,1556
Jul-16,31519,9096,1543
Aug-16,31453,9038,1534
Sep-16,31343,9028,1522
Oct-16,31177,8947,1493
Nov-16,31205,8869,1480
Dec-16,31076,8732,1465
Jan-17,31019,8743,1444
Feb-17,31011,8743,1435
Mar-17,31049,8759,1412
Apr-17,30914,8690,1403
May-17,30822,8508,1388
Jun-17,30719,8500,1384
Jul-17,30647,8487,1375
Aug-17,30513,8470,1363
Sep-17,30380,8464,1353
Oct-17,30285,8461,1341
Nov-17,30171,8454,1327
Dec-17,30046,8455,1316
Jan-18,30056,8445,1304
Feb-18,30013,8445,1294
Mar-18,29924,8481,1286
Apr-18,29874,8553,1276
May-18,29814,8548,1268
Jun-18,29752,8565,1257
Jul-18,29697,8622,1242
Aug-18,29666,8620,1242
Sep-18,29685,8691,1236
Oct-18,29654,8757,1241
Nov-18,29788,8793,1222
Dec-18,29692,8763,1222
Jan-19,29785,8840,1222
Feb-19,29869,8868,1228
Mar-19,29978,8968,1231
Apr-19,29971,8937,1254
May-19,30020,8937,1254
Jun-19,30059,8996,1233
Jul-19,30166,8996,1242
Aug-19,30302,8975,1232
Sep-19,30501,9043,1252
Oct-19,30736,9077,1269
Nov-19,31079,9144,1268
Dec-19,30977,9152,1267
Jan-20,31321,9227,1262
Feb-20,31550,9327,1249
Mar-20,31745,9400,1244
Apr-20,32100,9436,1258
May-20,32401,9461,1246
Jun-20,32568,9505,1249
Jul-20,32812,9583,1244
Aug-20,32682,9610,1233
Sep-20,32766,9700,1244
Oct-20,32620,9716,1256
Nov-20,32455,9776,1264
Dec-20,32327,9745,1251
Jan-21,32373,9814,1254
Feb-21,32475,9813,1259
Mar-21,32531,9834,1246
Apr-21,32392,9786,1251
May-21,32493,9816,1262
Jun-21,32657,9797,1254
Jul-21,32765,9781,1243
Aug-21,32920,9791,1229
Sep-21,33034,9818,1224
Oct-21,33116,9826,1214
Nov-21,33212,9837,1207
Dec-21,33077,9789,1195
Jan-22,33128,9804,1179
Feb-22,33326,9813,1168
Mar-22,33567,9810,1152
Apr-22,33542,9814,1146
May-22,33706,9875,1137
Jun-22,33919,9867,1139
Jul-22,33792,9913,1135
Aug-22,33843,9924,1146
